name,type,apiBaseUrl,authMode,apiKeys,healthCheckEndpoint
a,deepseek,https://api.example.com/v1,single,sk-pv01,
ab,deepseek,https://api.example.com/v1,single,sk-pv02,
pv-normal-provider,deepseek,https://api.example.com/v1,single,sk-pv03,
ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,deepseek,https://api.example.com/v1,single,sk-pv04,
pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,deepseek,https://api.example.com/v1,single,sk-pv05,
~!@#$%^&*(),deepseek,https://api.example.com/v1,single,sk-pv06,
a?#&b,openai,https://api.example.com/v1,single,sk-pv07,
café-provider,openai,https://api.example.com/v1,single,sk-pv08,
emoji-provider😀,openai,https://api.example.com/v1,single,sk-pv09,
pv-oauth,openai,https://api.example.com/v1,oauth,sk-pv10,
pv-amode-nonexist,openai,https://api.example.com/v1,nonexist,sk-pv11,
pv-port,deepseek,http://192.168.1.1:8080,single,sk-pv12,
pv-keysym,openai,https://api.example.com/v1,single,sk-@#%^&*()!,
pv-hc,groq,https://api.example.com/v1,single,sk-pv14,/health
pv-hc-sym,groq,https://api.example.com/v1,single,sk-pv15,~!@#$%
pv_t01,anthropic,https://api.example.com/v1,single,sk-t01,
pv_t02,chatgpt,https://api.example.com/v1,single,sk-t02,
pv_t03,cursor,https://api.example.com/v1,single,sk-t03,
pv_t04,dashscope,https://api.example.com/v1,single,sk-t04,
pv_t05,deepseek,https://api.example.com/v1,single,sk-t05,
pv_t06,gemini,https://api.example.com/v1,single,sk-t06,
pv_t07,groq,https://api.example.com/v1,single,sk-t07,
pv_t08,minimax,https://api.example.com/v1,single,sk-t08,
pv_t09,moonshot,https://api.example.com/v1,single,sk-t09,
pv_t10,ollama,https://api.example.com/v1,single,sk-t10,
pv_t11,openai,https://api.example.com/v1,single,sk-t11,
pv_t12,openrouter,https://api.example.com/v1,single,sk-t12,
pv_t13,xai,https://api.example.com/v1,single,sk-t13,
pv_t14,xiaomi_mimo,https://api.example.com/v1,single,sk-t14,
pv_t15,zai,https://api.example.com/v1,single,sk-t15,
pv,anthropic,https://api.example.com/v1,single,sk-pp0,
normal-provider-name,chatgpt,https://api.example.com/v1,single,sk-pp1,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,cursor,https://api.example.com/v1,single,sk-pp2,
pv-https-var,dashscope,https://api.deepseek.com/v1,single,sk-pp3,
pv-url-port,deepseek,http://10.0.0.1:9090/v1,single,sk-pp4,
pv-url-trailing,gemini,https://api.example.com/v1/,single,sk-pp5,
pv-auth-oauth,groq,https://api.example.com/v1,oauth,sk-pp6,
pv-key-long,minimax,https://api.example.com/v1,single,sk-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,
pv-key-special,moonshot,https://api.example.com/v1,single,sk-test_key-123.ABC,
pv-hc-root,ollama,https://api.example.com/v1,single,sk-pp9,/
pv-hc-deep,openai,https://api.example.com/v1,single,sk-pp10,/api/v1/health/check
pv-hc-query,openrouter,https://api.example.com/v1,single,sk-pp11,/health?timeout=5000
pv-中文名,xai,https://api.example.com/v1,single,sk-pp12,
pv-日本語,xiaomi_mimo,https://api.example.com/v1,single,sk-pp13,
pv-한국어,zai,https://api.example.com/v1,single,sk-pp14,
