username,password,realName,phone,email,roleId
,123456,T,13800000001,i1@t.com,1000000000000000001
   ,123456,T,13800000002,i2@t.com,1000000000000000001
uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,123456,T,13800000003,i3@t.com,1000000000000000001
test123,123456,T,13800000004,i4@t.com,1000000000000000001
' OR '1'='1,123456,T,13800000005,i5@t.com,1000000000000000001
<script>alert(1)</script>,123456,T,13800000006,i6@t.com,1000000000000000001
../../x,123456,T,13800000007,i7@t.com,1000000000000000001
f_inv03,,T,13800000008,i8@t.com,1000000000000000001
f_inv04,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,T,13800000009,i9@t.com,1000000000000000001
f_inv05,123456,,13800000010,i10@t.com,1000000000000000001
f_inv06,123456,RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,13800000011,i11@t.com,1000000000000000001
f_inv07,123456,T,1380000000,i12@t.com,1000000000000000001
f_inv08,123456,T,138000000001,i13@t.com,1000000000000000001
f_inv09,123456,T,138a0000001,i14@t.com,1000000000000000001
f_inv10,123456,T,+8613800000001,i15@t.com,1000000000000000001
f_inv11,123456,T,13800000016,notanemail,1000000000000000001
f_inv12,123456,T,13800000017,i17@t.com,
f_rid_inv,123456,T,13800000018,i18@t.com,999999999999
